name,type,type_en,tags
align-box-center-bottom,轮廓线,outline,"arrange, organize, align, middle, bottom, balance, center, layout, adjust, format"
align-box-center-middle,轮廓线,outline,"text, type, line, horizontal, align, box, center, middle, typography, writing"
align-box-center-stretch,轮廓线,outline,"distribute, organize, align, stretch, center, balance, expand, even, layout, arrange"
align-box-center-top,轮廓线,outline,"balance, arrange, organize, top, center, align, layout, position, format, adjust"
align-box-left-bottom,轮廓线,outline,"text, type, west, down, south, corner, align, box, left, bottom"
align-box-left-middle,轮廓线,outline,"text, type, west, align, box, left, middle, typography, writing, font"
align-box-left-stretch,轮廓线,outline,"layout, position, padding, design, interface, spacing, css, align, flex, grid"
align-box-left-top,轮廓线,outline,"text, type, west, up, north, corner, align, box, left, top"
align-box-right-bottom,轮廓线,outline,"text, type, east, down, south, corner, align, box, right, bottom"
align-box-right-middle,轮廓线,outline,"text, type, east, align, box, right, middle, typography, writing, font"
align-box-right-stretch,轮廓线,outline,"layout, position, padding, design, interface, spacing, css, align, flex, grid"
align-box-right-top,轮廓线,outline,"text, type, east, up, north, corner, align, box, right, top"
align-box-top-center,轮廓线,outline,"text, type, up, north, align, box, top, center, typography, writing"
align-box-top-left,轮廓线,outline,"text, type, up, north, east, corner, align, box, top, left"
align-box-top-right,轮廓线,outline,"text, type, up, north, west, corner, align, box, top, right"
align-center,轮廓线,outline,"text, alignment, position, align, center, typography, writing, font, character, word"
align-justified,轮廓线,outline,"text, alignment, position, align, justified, typography, writing, font, character, word"
align-left-2,轮廓线,outline,"text, alignment, position, align, left, typography, writing, font, character, word"
align-left,轮廓线,outline,"text, alignment, position, align, left, typography, writing, font, character, word"
align-right-2,轮廓线,outline,"text, alignment, position, align, right, typography, writing, font, character, word"
align-right,轮廓线,outline,"text, alignment, position, align, right, typography, writing, font, character, word"
alpha,轮廓线,outline,"letter, alphabet, greek, math, alpha, character, typography, text, writing"
alphabet-arabic,轮廓线,outline,"language, writing, text, script, culture, letters, font, arab, linguistics, communication"
alphabet-bangla,轮廓线,outline,"language, alphabet, bangla, bengali, typography, writing, font, character, word, letters"
alphabet-cyrillic,轮廓线,outline,"russia, letters, language, alphabet, cyrillic, typography, writing, font, character, word"
alphabet-greek,轮廓线,outline,"letters, language, alpha, beta, alphabet, greek, typography, writing, font, character"
alphabet-hebrew,轮廓线,outline,"language, alphabet, hebrew, jewish, typography, writing, font, character, word, letters"
alphabet-korean,轮廓线,outline,"language, alphabet, korean, typography, writing, font, character, word, letters, characters"
alphabet-latin,轮廓线,outline,"letters, language, rome, alphabet, latin, typography, writing, font, character, word"
alphabet-polish,轮廓线,outline,"alphabet, polish, poland, letters, language, diacritics, font, text, ą, ł, typography"
alphabet-runes,轮廓线,outline,"alphabet, runes, viking, nordic, ancient, letters, language, font, futhark, norse, text"
alphabet-thai,轮廓线,outline,"language, alphabet, thailand, thai, typography, writing, font, character, word, letters"
alt,轮廓线,outline,"alternative, substitute, replacement, variant, different, alternate, variation, stand-in, option, choice"
ambulance,轮廓线,outline,"vehicle, car, hospital, ward, doctor, rescuer, ambulance, transport, travel, automobile"
ampersand,轮廓线,outline,"and, also, besides, moreover, ampersand, calculation, equation, mathematics, numeric, formula"
analyze-off,轮廓线,outline,"analytics, data, statistics, graph, analyze, off, disabled, inactive, examination, study"
analyze,轮廓线,outline,"analytics, data, statistics, graph, analyze, examination, study, review, assessment"
anchor-off,轮廓线,outline,"hold, ship, harbor, docks, anchor, off, location, navigation, disabled, inactive"
anchor,轮廓线,outline,"hold, ship, harbor, docks, anchor, location, navigation, geography, place, position"
angle,轮廓线,outline,"geometry, math, degrees, angle, creative, artistic, visual, aesthetic, style, corner"
ankh,轮廓线,outline,"egypt, religion, cultures, community, ankh, sign, mark, emblem, representation, indicator"
antenna-bars-1,轮廓线,outline,"signal, wireless, wi-fi, quality, antenna, bars, hardware, technology, electronic, gadget"
antenna-bars-2,轮廓线,outline,"signal, wireless, wi-fi, quality, antenna, bars, hardware, technology, electronic, gadget"
antenna-bars-3,轮廓线,outline,"signal, wireless, wi-fi, quality, antenna, bars, hardware, technology, electronic, gadget"
antenna-bars-4,轮廓线,outline,"signal, wireless, wi-fi, quality, antenna, bars, hardware, technology, electronic, gadget"
antenna-bars-5,轮廓线,outline,"signal, wireless, wi-fi, quality, antenna, bars, hardware, technology, electronic, gadget"
antenna-bars-off,轮廓线,outline,"signal, wireless, wi-fi, quality, antenna, bars, off, hardware, technology, disabled"
antenna-off,轮廓线,outline,"reach, tv, network, connetion, signal, communication, antenna, off, hardware, technology"
antenna,轮廓线,outline,"reach, tv, network, connetion, signal, communication, antenna, hardware, technology, electronic"
aperture-off,轮廓线,outline,"hole, opening, vent, aperture, off, disabled, inactive, camera, picture, image"
aperture,轮廓线,outline,"hole, opening, vent, aperture, camera, picture, capture, lens, image"
api-app-off,轮廓线,outline,"development, software, developer, platform, api, app, off, programming, disabled, inactive"
api-app,轮廓线,outline,"development, software, developer, platform, api, app, programming, coding, technical, application"
api-book,轮廓线,outline,"programming, coding, program, code, configuration, api, software, technical, developer, interface"
api-off,轮廓线,outline,"programming, coding, program, code, configuration, api, off, software, disabled, inactive"
api,轮廓线,outline,"programming, coding, program, code, configuration, api, software, technical, developer, interface"
app-window,轮廓线,outline,"browser, page, website, web, interface, app, window, application, program, software"
apple,轮廓线,outline,"fruit, healthy, diet, fitness, apple, meal, cuisine, eating, nutrition, culinary"
apps-off,轮廓线,outline,"application, add-on, user, download, mobile, apps, off, programming, software, disabled"
apps,轮廓线,outline,"application, add-on, user, download, mobile, apps, programming, software, coding, technical"
archery-arrow,轮廓线,outline,"bow, target, shoot, sports, archer, hunting, bullseye, flight, quiver, precision"
archive-off,轮廓线,outline,"box, index, records, old, collect, archive, off, disabled, inactive, file"
archive,轮廓线,outline,"box, index, records, old, collect, archive, file, paper, text, record"
armchair-2-off,轮廓线,outline,"seat, chair, sofa, home, furniture, armchair, off, disabled, inactive, 2"
armchair-2,轮廓线,outline,"seat, chair, sofa, home, furniture, armchair, 2, comfort, relax"
armchair-off,轮廓线,outline,"seat, chair, sofa, home, furniture, armchair, off, disabled, inactive, comfort"
armchair,轮廓线,outline,"seat, chair, sofa, home, furniture, armchair, comfort, relax"
arrow-autofit-content,轮廓线,outline,"direction, east, west, arrow, autofit, content, pointer, navigation, flow, navigate"
arrow-autofit-down,轮廓线,outline,"direction, south, arrow, autofit, down, pointer, bottom, decrease, navigation, flow"
arrow-autofit-height,轮廓线,outline,"direction, north, up, down, south, arrow, autofit, height, pointer, navigation"
arrow-autofit-left,轮廓线,outline,"direction, west, arrow, autofit, left, pointer, navigation, flow, navigate, move"
arrow-autofit-right,轮廓线,outline,"direction, east, west, arrow, autofit, right, pointer, navigation, flow, navigate"
arrow-autofit-up,轮廓线,outline,"direction, north, arrow, autofit, pointer, top, increase, navigation, flow, navigate"
arrow-autofit-width,轮廓线,outline,"direction, east, west, arrow, autofit, width, pointer, navigation, flow, navigate"
arrow-back-up-double,轮廓线,outline,"navigation, direction, return, reverse, double, path, interface, ui, gesture, arrow"
arrow-back-up,轮廓线,outline,"pointer, return, revert, reverse, undo, left, arrow, back, direction, top"
arrow-back,轮廓线,outline,"pointer, return, revert, reverse, undo, left, arrow, back, direction, navigation"
arrow-badge-down,轮廓线,outline,"army, badge, military, rank, soldier, war, south, bottom, arrow, down"
arrow-badge-left,轮廓线,outline,"army, badge, military, rank, soldier, war, west, arrow, left, direction"
arrow-badge-right,轮廓线,outline,"army, badge, military, rank, soldier, war, east, arrow, right, direction"
arrow-badge-up,轮廓线,outline,"army, badge, military, rank, soldier, war, north, arrow, direction, pointer"
arrow-bar-both,轮廓线,outline,"direction, bar, navigation, indicator, bi-directional, interface, ui, path, flow, arrow"
arrow-bar-down,轮廓线,outline,"drag, move, arrow, bar, down, direction, pointer, bottom, decrease, navigation"
arrow-bar-left,轮廓线,outline,"drag, move, arrow, bar, left, direction, pointer, navigation, flow, navigate"
arrow-bar-right,轮廓线,outline,"drag, move, arrow, bar, right, direction, pointer, navigation, flow, navigate"
arrow-bar-to-down-dashed,轮廓线,outline,"arrow, bar, down, dashed, direction, pointer, bottom, decrease, navigation, flow"
arrow-bar-to-down,轮廓线,outline,"drag, move, arrow, bar, down, direction, pointer, bottom, decrease, navigation"
arrow-bar-to-left-dashed,轮廓线,outline,"arrow, bar, left, dashed, direction, pointer, navigation, flow, navigate, move"
arrow-bar-to-left,轮廓线,outline,"drag, move, arrow, bar, left, direction, pointer, navigation, flow, navigate"
arrow-bar-to-right-dashed,轮廓线,outline,"arrow, bar, right, dashed, direction, pointer, navigation, flow, navigate, move"
arrow-bar-to-right,轮廓线,outline,"drag, move, arrow, bar, right, direction, pointer, navigation, flow, navigate"
arrow-bar-to-up-dashed,轮廓线,outline,"arrow, bar, dashed, direction, pointer, top, increase, navigation, flow, navigate"
arrow-bar-to-up,轮廓线,outline,"drag, move, arrow, bar, direction, pointer, top, increase, navigation, flow"
arrow-bar-up,轮廓线,outline,"drag, move, arrow, bar, direction, pointer, top, increase, navigation, flow"
arrow-bear-left-2,轮廓线,outline,"direction, north, arrow, bear, left, pointer, navigation, flow, navigate, move"
arrow-bear-left,轮廓线,outline,"direction, north, arrow, bear, left, pointer, navigation, flow, navigate, move"
arrow-bear-right-2,轮廓线,outline,"direction, north, arrow, bear, right, pointer, navigation, flow, navigate, move"
arrow-bear-right,轮廓线,outline,"direction, north, arrow, bear, right, pointer, navigation, flow, navigate, move"
arrow-big-down-line,轮廓线,outline,"direction, south, arrow, big, down, line, pointer, bottom, decrease, navigation"
arrow-big-down-lines,轮廓线,outline,"direction, south, arrow, big, down, lines, pointer, bottom, decrease, navigation"
arrow-big-down,轮廓线,outline,"direction, south, arrow, big, down, pointer, bottom, decrease, navigation, flow"
arrow-big-left-line,轮廓线,outline,"direction, west, arrow, big, left, line, pointer, navigation, flow, navigate"
arrow-big-left-lines,轮廓线,outline,"direction, west, arrow, big, left, lines, pointer, navigation, flow, navigate"
arrow-big-left,轮廓线,outline,"direction, west, arrow, big, left, pointer, navigation, flow, navigate, move"
arrow-big-right-line,轮廓线,outline,"direction, east, west, arrow, big, right, line, pointer, navigation, flow"
arrow-big-right-lines,轮廓线,outline,"direction, east, west, arrow, big, right, lines, pointer, navigation, flow"
arrow-big-right,轮廓线,outline,"direction, east, west, arrow, big, right, pointer, navigation, flow, navigate"
arrow-big-up-line,轮廓线,outline,"direction, north, arrow, big, line, pointer, top, increase, navigation, flow"
arrow-big-up-lines,轮廓线,outline,"direction, north, arrow, big, lines, pointer, top, increase, navigation, flow"
arrow-big-up,轮廓线,outline,"direction, north, arrow, big, pointer, top, increase, navigation, flow, navigate"
arrow-bounce,轮廓线,outline,"direction, cursor, up, pointer, move, arrow, bounce, navigation, flow, navigate"
arrow-capsule,轮廓线,outline,"shape, direction, style, navigation, design, indicator, ui, interface, guide, arrow"
arrow-curve-left,轮廓线,outline,"direction, north, arrow, curve, left, pointer, navigation, flow, navigate, move"
arrow-curve-right,轮廓线,outline,"direction, north, arrow, curve, right, pointer, navigation, flow, navigate, move"
arrow-down-bar,轮廓线,outline,"drag, move, arrow, down, bar, direction, pointer, bottom, decrease, navigation"
arrow-down-circle,轮廓线,outline,"proceed, swipe, below, bottom, arrow, down, circle, direction, pointer, decrease"
arrow-down-dashed,轮廓线,outline,"proceed, swipe, below, bottom, arrow, down, dashed, direction, pointer, decrease"
arrow-down-from-arc,轮廓线,outline,"navigation, direction, downward, arch, flow, guide, movement, path, down, arrow"
arrow-down-left-circle,轮廓线,outline,"corner, bottom, point, arrow, down, left, circle, direction, pointer, decrease"
arrow-down-left,轮廓线,outline,"corner, bottom, point, arrow, down, left, direction, pointer, decrease, navigation"
arrow-down-rhombus,轮廓线,outline,"proceed, swipe, below, shape, bottom, south, arrow, down, rhombus, direction"
arrow-down-right-circle,轮廓线,outline,"corner, bottom, point, arrow, down, right, circle, direction, pointer, decrease"
arrow-down-right,轮廓线,outline,"corner, bottom, point, arrow, down, right, direction, pointer, decrease, navigation"
arrow-down-square,轮廓线,outline,"drag, move, arrow, down, square, direction, pointer, bottom, decrease, navigation"
arrow-down-tail,轮廓线,outline,"drag, move, arrow, down, tail, direction, pointer, bottom, decrease, navigation"
arrow-down-to-arc,轮廓线,outline,"navigation, direction, downward, arch, flow, path, guide, interface, ui, arrow"
arrow-down,轮廓线,outline,"proceed, swipe, below, bottom, arrow, down, direction, pointer, decrease, navigation"
arrow-elbow-left,轮廓线,outline,"bend, direction, turn, left, path, navigation, interface, ui, route, arrow"
arrow-elbow-right,轮廓线,outline,"bend, direction, turn, right, path, navigation, interface, ui, route, arrow"
arrow-fork,轮廓线,outline,"direction, north, arrow, fork, pointer, navigation, flow, navigate, move, movement"
arrow-forward-up-double,轮廓线,outline,"navigation, direction, upward, advance, double, path, interface, ui, movement, arrow"
arrow-forward-up,轮廓线,outline,"point, turn, next, redo, right, arrow, forward, direction, pointer, top"
arrow-forward,轮廓线,outline,"point, turn, next, redo, right, arrow, forward, direction, pointer, navigation"
arrow-guide,轮廓线,outline,"direction, west, bend, navigation, arrow, guide, pointer, flow, navigate, move"
arrow-iteration,轮廓线,outline,"direction, loop, right, east, arrow, iteration, pointer, navigation, flow, navigate"
arrow-left-bar,轮廓线,outline,"drag, move, arrow, left, bar, direction, pointer, navigation, flow, navigate"
arrow-left-circle,轮廓线,outline,"drag, move, arrow, left, circle, direction, pointer, navigation, flow, round"
arrow-left-dashed,轮廓线,outline,"back, swipe, return, arrow, left, dashed, direction, pointer, navigation, flow"
arrow-left-from-arc,轮廓线,outline,"navigation, direction, leftward, arch, interface, path, flow, guide, ui, arrow"
arrow-left-rhombus,轮廓线,outline,"proceed, swipe, below, shape, west, arrow, left, rhombus, direction, pointer"
arrow-left-right,轮廓线,outline,"direction, west, east, arrow, left, right, pointer, navigation, flow, navigate"
arrow-left-square,轮廓线,outline,"drag, move, arrow, left, square, direction, pointer, navigation, flow, rectangular"
arrow-left-tail,轮廓线,outline,"drag, move, arrow, left, tail, direction, pointer, navigation, flow, navigate"
arrow-left-to-arc,轮廓线,outline,"navigation, direction, leftward, arch, interface, path, flow, guide, ui, arrow"
arrow-left,轮廓线,outline,"back, swipe, return, arrow, left, direction, pointer, navigation, flow, navigate"
arrow-loop-left-2,轮廓线,outline,"direction, west, arrow, loop, left, pointer, navigation, flow, navigate, move"
arrow-loop-left,轮廓线,outline,"drag, move, turn, arrow, loop, left, direction, pointer, navigation, flow"
arrow-loop-right-2,轮廓线,outline,"direction, east, arrow, loop, right, pointer, navigation, flow, navigate, move"
arrow-loop-right,轮廓线,outline,"drag, move, turn, arrow, loop, right, direction, pointer, navigation, flow"
arrow-merge-alt-left,轮廓线,outline,"merge-left, shift-left, combine-left, direction-left, join-left, move-left, alt-left-arrow, leftward, left-shift, left-merge"
arrow-merge-alt-right,轮廓线,outline,"merge-right, shift-right, combine-right, direction-right, join-right, move-right, alt-right-arrow, rightward, right-shift, right-merge"
arrow-merge-both,轮廓线,outline,"direction, up, north, higher, right, left, arrow, merge, both, pointer"
arrow-merge-left,轮廓线,outline,"direction, up, north, higher, arrow, merge, left, pointer, navigation, flow"
arrow-merge-right,轮廓线,outline,"direction, up, north, higher, arrow, merge, right, pointer, navigation, flow"
arrow-merge,轮廓线,outline,"direction, north, up, arrow, merge, pointer, navigation, flow, navigate, move"
arrow-move-down,轮廓线,outline,"direction, south, bottom, arrow, move, down, pointer, decrease, navigation, flow"
arrow-move-left,轮廓线,outline,"direction, west, arrow, move, left, pointer, navigation, flow, navigate, transfer"
arrow-move-right,轮廓线,outline,"direction, east, arrow, move, right, pointer, navigation, flow, navigate, transfer"
arrow-move-up,轮廓线,outline,"direction, north, top, arrow, move, pointer, increase, navigation, flow, navigate"
arrow-narrow-down-dashed,轮廓线,outline,"bottom, proceed, swipe, next, arrow, narrow, down, dashed, direction, pointer"
arrow-narrow-down,轮廓线,outline,"bottom, proceed, swipe, next, arrow, narrow, down, direction, pointer, decrease"
arrow-narrow-left-dashed,轮廓线,outline,"back, previous, pointer, point, arrow, narrow, left, dashed, direction, navigation"
arrow-narrow-left,轮廓线,outline,"back, previous, pointer, point, arrow, narrow, left, direction, navigation, flow"
arrow-narrow-right-dashed,轮廓线,outline,"next, proceed, point, pointer, arrow, narrow, right, dashed, direction, navigation"
arrow-narrow-right,轮廓线,outline,"next, proceed, point, pointer, arrow, narrow, right, direction, navigation, flow"
arrow-narrow-up-dashed,轮廓线,outline,"top, point, arrow, narrow, dashed, direction, pointer, increase, navigation, flow"
arrow-narrow-up,轮廓线,outline,"top, point, arrow, narrow, direction, pointer, increase, navigation, flow, navigate"
arrow-ramp-left-2,轮廓线,outline,"direction, west, arrow, ramp, left, pointer, navigation, flow, navigate, move"
arrow-ramp-left-3,轮廓线,outline,"direction, west, arrow, ramp, left, pointer, navigation, flow, navigate, move"
arrow-ramp-left,轮廓线,outline,"direction, side, turn, arrow, ramp, left, pointer, navigation, flow, navigate"
arrow-ramp-right-2,轮廓线,outline,"direction, east, arrow, ramp, right, pointer, navigation, flow, navigate, move"
arrow-ramp-right-3,轮廓线,outline,"direction, east, arrow, ramp, right, pointer, navigation, flow, navigate, move"
arrow-ramp-right,轮廓线,outline,"direction, side, turn, arrow, ramp, right, pointer, navigation, flow, navigate"
arrow-right-bar,轮廓线,outline,"drag, move, arrow, right, bar, direction, pointer, navigation, flow, navigate"
arrow-right-circle,轮廓线,outline,"drag, move, arrow, right, circle, direction, pointer, navigation, flow, round"
arrow-right-dashed,轮廓线,outline,"next, proceed, swipe, arrow, right, dashed, direction, pointer, navigation, flow"
arrow-right-from-arc,轮廓线,outline,"navigation, direction, rightward, arch, interface, path, flow, guide, ui, arrow"
arrow-right-rhombus,轮廓线,outline,"proceed, swipe, below, shape, east, arrow, right, rhombus, direction, pointer"
arrow-right-square,轮廓线,outline,"direction, east, arrow, right, square, pointer, navigation, flow, rectangular, navigate"
arrow-right-tail,轮廓线,outline,"direction, east, arrow, right, tail, pointer, navigation, flow, navigate, move"
arrow-right-to-arc,轮廓线,outline,"navigation, direction, rightward, arch, interface, path, flow, guide, ui, arrow"
arrow-right,轮廓线,outline,"next, proceed, swipe, arrow, right, direction, pointer, navigation, flow, navigate"
arrow-rotary-first-left,轮廓线,outline,"direction, south, arrow, rotary, first, left, pointer, navigation, flow, navigate"
arrow-rotary-first-right,轮廓线,outline,"direction, south, arrow, rotary, first, right, pointer, navigation, flow, navigate"
arrow-rotary-last-left,轮廓线,outline,"direction, north, arrow, rotary, last, left, pointer, navigation, flow, navigate"
arrow-rotary-last-right,轮廓线,outline,"direction, north, arrow, rotary, last, right, pointer, navigation, flow, navigate"
arrow-rotary-left,轮廓线,outline,"direction, west, arrow, rotary, left, pointer, navigation, flow, navigate, move"
arrow-rotary-right,轮廓线,outline,"direction, east, arrow, rotary, right, pointer, navigation, flow, navigate, move"
arrow-rotary-straight,轮廓线,outline,"direction, north, arrow, rotary, straight, pointer, navigation, flow, navigate, move"
arrow-roundabout-left,轮廓线,outline,"direction, east, traffic, circle, arrow, roundabout, left, pointer, navigation, flow"
arrow-roundabout-right,轮廓线,outline,"direction, west, traffic, circle, arrow, roundabout, right, pointer, navigation, flow"
arrow-sharp-turn-left,轮廓线,outline,"direction, north, down, arrow, sharp, turn, left, pointer, navigation, flow"
arrow-sharp-turn-right,轮廓线,outline,"direction, south, down, arrow, sharp, turn, right, pointer, navigation, flow"
arrow-up-bar,轮廓线,outline,"direction, north, arrow, bar, pointer, top, increase, navigation, flow, navigate"
arrow-up-circle,轮廓线,outline,"top, point, arrow, circle, direction, pointer, increase, navigation, flow, round"
arrow-up-dashed,轮廓线,outline,"top, point, arrow, dashed, direction, pointer, increase, navigation, flow, navigate"
arrow-up-from-arc,轮廓线,outline,"navigation, direction, upward, arch, flow, guide, path, interface, ui, arrow"
arrow-up-left-circle,轮廓线,outline,"top, corner, point, arrow, left, circle, direction, pointer, increase, navigation"
arrow-up-left,轮廓线,outline,"top, corner, point, arrow, left, direction, pointer, increase, navigation, flow"
